,Titular,Cuerpo,Fecha_Publicada,N_Parrafos
0,Ministros americanos debaten en Bogotá desafíos laborales por IA y cambio climático,Bogotá  oct (EFE) Los países de la Organización de Estados Americanos (OEA) se reunieron este miércoles en Bogotá para debatir en la XXII Conferencia Interamericana de Ministros de Trabajo propuestas frente a los grandes retos del mundo laboral como la irrupción de la inteligencia artificial (IA) el cambio climático o problemas estructurales como la informalidad o la desigualdad Esta reunión es “resultado de un proceso en el que los países que integran la OEA hemos transitado para llegar a consensos y definir las estrategias para asegurar una recuperación sostenible y seguir construyendo un futuro de trabajo para las Américas” aseguró la anfitriona la ministra colombiana de Trabajo Gloria Inés Ramírez quien asumirá la presidencia de esta conferencia Se trata del principal foro en asuntos laborales para que los países de la región aborden estrategias conjuntas y construyan “la agenda regional en materia de trabajo” como definió el secretario adjunto de la OEA Néstor Méndez durante la inauguración “Es la oportunidad para lograr acuerdos y tener planteamientos regionales para responder a los desafíos globales” recordó Ramírez quien enunció algunos retos como la globalización el impacto de las tecnologías los cambios demográficos las guerras o la crisis climática que han afectado y profundizado las brechas en desigualdad Problemas estructurales Un mercado laboral donde uno de cada dos empleos son informales más de  millones de personas no reciben ingresos suficientes para cubrir las necesidades básicas o un tercio de la región aún en la pobreza siguen siendo los principales problemas que marcan el contexto regional “No va a haber justicia social sin un compromiso pleno para abordar la desigualdad eliminar la discriminación y asegurarse que se avanza sin dejar a nadie atrás” apuntó el director general de la Organización Internacional del Trabajo (OIT) Gilbert F Houngbo Es la primera reunión física tras la pandemia después de la de  que se realizó de forma virtual y donde se adoptó la Declaración de Buenos Aires muy centrada en los efectos de la covid y en los compromisos para enfocar la recuperación del empleo y las empresas Una pandemia que según Méndez “profundizó los desafíos económicos y sociales” y “amplió las profundas brechas de desigualdad” llevando a las Américas al “lamentable récord” de ser la región más desigual del mundo Nuevos retos Sin embargo esta reunión se produce en “un momento de profunda transformación del mundo del trabajo a nivel global” en palabras del secretario adjunto de la OEA y a esos problemas estructurales se le suman nuevos desafíos “Las dinámicas laborales están cambiando impulsadas en transformaciones tecnológicas como la IA la transformación demográfica y la transición ambiental” recordó Méndez Y continúo “Estamos viendo como algunas ocupaciones desaparecen en manos de la automatización mientras se crean nuevos empleos producto de la innovación tecnológica” Las plataformas tecnológicas por ejemplo ya emplean al  % de la fuerza laboral y en algunos países llega incluso al  % La descarbonización por otro lado puede llegar a producir un incremento neto de  millones de empleos en toda América Latina con iniciativas como el crecimiento verde Por eso durante este miércoles y el jueves los ministros y representantes de los Estados miembros a los que se unirán sindicatos patronales y otros países como España representado por la ministra de Trabajo y vicepresidenta segunda Yolanda Díaz debatirán propuestas y tratarán de trazar estrategias para enfrentar estos retos Todo ello con vistas a adoptar una nueva declaración la de Bogotá que trace una nueva hoja de ruta para el futuro del trabajo y la transición justa en las Américas,23 de octubre de 2024 21:25 h,17
1,Los cabildos de Fuerteventura Lanzarote y La Gomera se oponen al céntimo forestal para luchar contra el cambio climático,Los presidentes de los cabildos de Fuerteventura y Lanzarote Lola García y Oswaldo Brito respectivamente han anunciado este miércoles que al igual que La Gomera no aplicarán el céntimo forestal que se idea para luchar contra el cambio climático en las islas por entender que supone un impacto negativo sobre la fiscalidad del combustible En un comunicado remitido por el Cabildo de Lanzarote Lola García se ha mostrado partidaria de impulsar medidas para afrontar los retos del cambio climático aún más en islas como las orientales donde sus efectos son más que visibles pero se deben buscar los fondos adecuados La idea anunciada por el Gobierno en el Parlamento canario va “en detrimento del consumidor final que como siempre ocurre es el máximo perjudicado” ha recalcado García quien ha asegurado que “en ningún caso se va a aplicar esta medida en Fuerteventura cuando precisamente lo que pedimos desde principios de año es que en las islas orientales se bonifique la adquisición de carburante y no encarecerlo” El presidente del Cabildo de Lanzarote Oswaldo Betancort ha fundamentado su oposición a aplicar la medida al no ir “en la línea de trabajo medioambiental que sigue la corporación insular que cuenta con fondos e iniciativas únicas en Canarias en materia medioambiental” Para Betancort el céntimo forestal propuesto por el Ejecutivo regional “no encaja en las necesidades que hoy tiene Lanzarote que ya cuenta con medidas efectivas y duraderas” Además “está destinado principalmente a paliar los posibles incendios que se puedan dar en las islas algo que no es prioritario en el caso de Lanzarote” ha señalado El presidente del Cabildo de La Gomera Casimiro Curbelo ha rechazado también este miércoles en un comunicado la posibilidad de aplicar en la isla el céntimo forestal por su impacto negativo sobre la fiscalidad del combustible y ha propuesto que se cobre por los servicios prestados en los espacios naturales protegidos La medida del céntimo forestal fue anunciada este martes por el presidente Fernando Clavijo en el Parlamento tras subrayar que los expertos consideran “vital y urgente” la creación de un fondo financiero “eficaz y estable” para atajar las amenazas sobre el ecosistema canario informó el Ejecutivo regional en nota de prensa El nuevo céntimo forestal permitirá a los cabildos aplicar un recargo de hasta  euros por litro en la exacción fiscal sobre los combustibles de automoción que ya existe en la comunidad autónoma Se calcula que gracias a esta medida y en el caso de que todas las corporaciones insulares decidan utilizarla se recaudarán en torno a  millones de euros anuales para luchar contra los efectos del cambio climático en el archipiélago No obstante el presidente regional adelantó en sede parlamentaria que la decisión final de aplicar este nuevo céntimo forestal quedará en manos de cada corporación insular También se ha referido al carácter finalista de los recursos que se recauden siendo obligatorio que se destine en su integridad a actuaciones centradas en la lucha contra el cambio climático El Ejecutivo autonómico lo garantizará vía reglamento,23 de octubre de 2024 19:12 h,10
2,Una investigación destaca la importancia de las algas coralinas para combatir el cambio climático,Las Palmas de Gran Canaria  oct (EFE) Una investigación internacional en la que ha participado el Instituto ECOAQUA de la Universidad de Las Palmas de Gran Canaria destaca el papel crucial que desempeñan los bancos de algas coralinas en el ciclo del carbono oceánico informa la universidad Conocidos en Canarias como confites por el color blanco que adquieren cuando finalizan su periodo de vida y son arrastrados a la costa este estudio aporta nuevas evidencias sobre la capacidad de estos hábitats para luchar contra el cambio climático al ser una herramienta muy eficaz para combatir el exceso de carbono en el planeta fruto de la quema de combustibles fósiles Los resultados publicados recientemente en Nature Communications revista de referencia internacional sobre grandes avances científicos muestran que estos hábitats marinos distribuidos por todo el mundo y construidos por rodolitos con un llamativo color rosa a nivel submarino son capaces de absorber grandes cantidades de carbono atmosférico y acumular carbonato cálcico lo que los convierte en un importante sumidero de carbono clave para el futuro del planeta La publicación revela que los lechos submarinos de algas coralinas que cubren amplias áreas de la plataforma costera del planeta y que en Las Palmas de Gran Canaria dan lugar a topónimos como El Confital pueden absorber hasta  gramos de carbono por metro cuadrado al día superando a otros ecosistemas marinos formados por macroalgas como las laminarias o las pardas Estos hábitats son de color mayormente rojizorosado tonalidad típica de los rodolitos lo que les atribuye una identidad cromática muy particular La investigación titulada ‘El Poder Rosa La Importancia de los Bancos de Algas Rojas Coralináceas en el Ciclo del Carbono Oceánico’ (‘Pink Power The Importance of Coralline Algal Beds in the Oceanic Carbon Cycle’) fue dirigida por un equipo internacional de científicos de distintas universidades y centros liderados por la doctora Nadine Schubert de la Universidad del Algarve (Portugal) y en ella han participado los investigadores Fernando Tuya Francisco OteroFerrer y Fernando Espino del Grupo de Biodiversidad y Conservación (BIOCON) del Instituto ECOAQUA por parte de la Universidad de Las Palmas de Gran Canaria Los resultados del estudio que abarcó un amplio rango geográfico incluyendo tanto las aguas subtropicales como templadas del Atlántico subrayan que estos ecosistemas no solo contribuyen al ciclo del carbono mediante la fotosíntesis sino que además acumulan grandes cantidades de carbonato de calcio en sus estructuras lo que los convierte en depósitos estables de carbono a largo plazo Hasta ahora había poca información sobre su productividad ya que la dinámica de flujo neto de carbono y los depósitos de carbonato dificultan la evaluación de su contribución al ciclo global del carbono oceánico Con los datos obtenidos que abarcan amplios rangos batimétricos de  a  metros se demuestra que “los lechos de algas coralinas son hábitats altamente productivos con tasas sustanciales de absorción de carbono de entre  y  gramos por metro cuadrado al día” señala el investigador y coautor de este artículo Fernando Tuya Estas tasas que varían en función de la disponibilidad de luz y la composición de las especies superan las estimaciones reportadas para otros hábitats constituidos por macroalgas cuya gran importancia en el ciclo del carbono a nivel global estaba más documentada Sumidero del exceso de carbono “Esta alta productividad junto con sus considerables depósitos de carbonato (– kilotoneladas) convierte los lechos de algas coralinas en contribuyentes altamente relevantes al ciclo del carbono oceánico actual y futuro jugando un papel muy importante como sumidero del exceso de carbono” destaca Tuya director del grupo BIOCON de ECOAQUA Estas características les otorgan un papel fundamental en la lucha contra el cambio climático por lo que su protección es vital para la conservación del medio marino de todo el planeta Tuya resalta la “imperiosa necesidad” de incorporar los bancos de rodolitos en programas de conservación del medio marino pues “son ecosistemas marinos altamente productivos y de gran relevancia para la absorción de carbono a nivel global” En palabras del investigador “estos resultados proporcionan argumentos sólidos para su inclusión en marcos nacionales o internacionales relevantes de conservación como la Red Natura  donde actualmente estos hábitats no están incluidos” Este hallazgo es especialmente relevante en un contexto de creciente acidificación oceánica puesto que aunque este fenómeno puede acelerar la disolución de los depósitos de carbonato también puede mejorar la capacidad de los bancos de algas coralinas para capturar dióxido de carbono Además del grupo BIOCON de ECOAQUA que ya había realizado con anterioridad iniciativas similares a las de este estudio aunque en ámbitos meramente locales como MACRODO esta investigación ha contado con la participación de un total de  universidades e instituciones científicas procedentes de España entre las que se encuentra la Asociación Biodiversidad Atlántica y Sostenibilidad (ABAS) en Telde (Gran Canaria) de Portugal de Italia de Francia de Irlanda de Brasil o de Australia,22 de octubre de 2024 21:05 h,17
3,Canarias gravará los combustibles con  céntimos para luchar contra el cambio climático,Santa Cruz de Tenerife  oct (EFE) Los siete cabildos insulares de Canarias podrán aplicar en  hasta dos céntimos de euro de recargo a los combustibles para automoción para dedicar esos recursos a actuaciones centradas en la lucha contra el cambio climático por ejemplo medidas contra los incendios forestales o contra la desertificación El Gobierno de Canarias ha informado de que este denominado “céntimo forestal” es un recargo sobre el impuesto de combustibles que se incluirá en el presupuesto de  y del que quedarán exentos los profesionales del sector del transporte Cada cabildo podrá decidir si aplica o no ese recargo hasta un máximo de  euros por litro de combustible y los ingresos tendrán carácter finalista es decir no se pueden emplear para otros fines Si todas las corporaciones insulares lo aplicaran la recaudación alcanzaría unos  millones de euros anuales según los cálculos del Gobierno de Canarias El céntimo forestal fue diseñado y propuesto por un equipo multidisciplinar de  expertos en una de las mesas creada por el Consejo de la Agenda Canaria  Los expertos han alertado de que los recursos destinados en Canarias a la lucha contra el cambio climático son “escasos y fluctuantes” Ante la proliferación de incendios y la pérdida de actividad primaria en las zonas de medianías de las islas occidentales urge al desarrollo de “medidas preventivas contundentes que reviertan esta tendencia” según los expertos Alertan también sobre “el elevadísimo riesgo de desertificación que afecta a todo el archipiélago” Aconsejan implantar un mecanismo fiscal “relevante finalista y directamente vinculado a las administraciones competentes en la materia que permita la creación de un fondo financiero con el que los cabildos puedan trabajar con constancia y recursos suficientes ante los efectos del cambio climático”,22 de octubre de 2024 17:29 h,9
4,Goia achaca al cambio climático que se vean más ratas en Donostia,El alcalde de Donostia Eneko Goia ha afirmado que el avistamiento de ratas en distintos puntos de la ciudad puede estar causado por el cambio climático que hace que “salgan más a la superficie” al tiempo que ha asegurado que es una cuestión en la que el Ayuntamiento “está absolutamente encima” En rueda de prensa tras la Junta de Gobierno municipal de este martes Goia preguntado por las denuncias de vecinos de varios barrios sobre la presencia de ratas ha señalado que el Ayuntamiento cuando recibe una queja o denuncia por la aparición de roedores suele “desratizar la zona sobre la que aparecen los avisos” según recoge Europa Press Según ha explicado ha hablado de este tema con el responsable del área y parece que hay “dos cosas que pueden estar teniendo una incidencia negativa y no solo en Donostia sino en general” En este sentido ha indicado que “una de las posibles consecuencias del cambio climático es ésta no el que haya más ratas sino que salgan más a superficie” de manera que son “más visibles” A ello ha añadido que “las ratas normalmente suelen desarrollar inmunidad a los venenos y por eso hay que ir cambiándolos permanentemente” “Puede que también haya algo de eso” ha señalado En todo caso ha asegurado que desde el Consistorio están “absolutamente encima para intentar controlar a esos roedores” y que continuarán “atendiendo a las llamadas” que se hagan al respecto elDiarioesEuskadi está en X en Facebook en Instagram en Telegram en WhatsApp y en Threads Cada semana te enviamos un boletín a tu correo electrónico ¡Apúntate Recuerda que puedes ser socio o socia de elDiarioes clicando aquí Y para más información puedes llamar o escribirnos al    ,22 de octubre de 2024 12:25 h,4
5,Canarias incluirá el céntimo forestal en los presupuestos de  para luchar contra el cambio climático,SANTA CRUZ DE TENERIFE  (EUROPA PRESS) El presidente del Gobierno de Canarias Fernando Clavijo ha anunciado este martes ante el Pleno del Parlamento que en los presupuestos autonómicos de  se incluirá el llamado céntimo forestal cuya recaudación se destinará a un fondo para luchar contra el cambio climático En una comparecencia para abordar el trabajo de las cinco mesas de expertos impulsadas por el Ejecutivo para abordar el futuro de las islas ha subrayado que cada cabildo tendrá en su mano decidir si quiere aplicarlo El presidente del Gobierno ha garantizado también que el sector profesional del transporte quedará exento de abonar este recargo sobre el impuesto del combustible La iniciativa ha sido elaborada por un panel de expertos que aconseja un fondo financiero “eficaz y estable” para atajar el riesgo de incendios forestales y la desertificación y Clavijo está convencido de que dotará de “músculo económico” a los cabildos Clavijo también ha recordado la advertencia lanzada por el Consejo Económico y Social (CES) tras alertar de que Canarias invierte menos de un céntimo de euro por cada metro cuadrado de espacio protegido y se ha referido al carácter finalista de los recursos que se recauden siendo obligatorio que se destine en su integridad a actuaciones centradas en la lucha contra el cambio climático El Ejecutivo autonómico lo garantizará vía reglamento remarca a través de una nota El nuevo céntimo forestal permitirá a los cabildos aplicar un recargo de hasta  euros por litro en la exacción fiscal sobre los combustibles de automoción que ya existe en Canarias Así se calcula que gracias a esta medida y en el caso de que todas las corporaciones insulares decidan utilizarla se recaudarán en torno a  millones de euros anuales para luchar contra los efectos del cambio climático en el archipiélago La creación del céntimo forestal en las cuentas del próximo año surge de una propuesta diseñada y elevada al Gobierno por un panel de  expertos de toda Canarias En concreto ha sido elaborada por el equipo multidisciplinar conformado en una de las mesas de pilotaje creada por el Consejo de la Agenda Canaria  la denominada Paisajes forestales resilientes y seguros,22 de octubre de 2024 17:27 h,11
6,ONU España uno de los más vulnerables al cambio climático por sus  kms de costa,lAlfàs del Pi (Alicante)  oct (EFE) Los más de  kilómetros de litoral que tiene España le convierten en uno de los países del mundo más vulnerables al fenómeno del cambio climático según la asesora especial para el Secretario General de ONU Turismo (UNWTO) Isabel Oliver Segreras Así lo ha afirmado este martes la también exsecretaria de Estado de Turismo en la apertura del II Congreso Internacional de Bandera Azul que entre hoy y el jueves reúne a decenas de expertos en playas y ecosistemas marinos sostenibles en lAlfàs del Pi (Alicante) y Gandía (Valencia) en un acto de inauguración con la participación de los respectivos alcaldes Vicente Arques y José Manuel Prieto Tras recordar que el mar y los océanos cubren el  por ciento del planeta y que son la base de sectores económicos tan potentes como el turismo la pesca y los transportes ha destacado su “fragilidad” ante los fenómenos de la contaminación y la sobreexplotación “El mar es belleza y fragilidad y al mismo tiempo los océanos tienen un papel muy importante para contrarrestar los efectos del cambio climático que a la vez sufren especialmente” ha explicado a los participantes de un congreso internacional que se celebra en un país “con una costa inmensa de  kilómetros donde viven millones de personas y que se ha convertido en un espacio especialmente sensible” El turismo de costa el  por ciento del mundial Ha abogado por tratar de “mantener un equilibrio entre el uso y el disfrute racional del litoral” y ha advertido de que esto es “esencial tanto para nosotros como para el planeta” en un mundo donde “el turismo costero representa el  por ciento del mundial” La Agenda  sitúa la lucha contra la contaminación de costas y mares entre los grandes retos actuales y ha advertido de que las acciones para la consecución de este objetivo “no pueden recaer sólo en los gobiernos sino entre los sectores público privado y organizaciones como ADEAC (organizadora del congreso de Bandera Azul)” También ha asegurado que la ONU está “firmemente comprometida” en un turismo sostenible y en la necesidad de aprovechar la capacidad del sector turístico para “transformar los destinos” y ha puesto como ejemplo los esfuerzos de la UNWTO en la lucha contra los plásticos (“el reciclaje es nuestra obsesión”) Un  por ciento de la superficie marina española estará protegida en  Por su parte la vicepresidenta adjunta de Organización del CSIC y científica en numerosas expediciones del estudio de los océanos María Gómez Ballesteros ha explicado que España es el segundo país europeo con mas espacio marino sólo por detrás de Portugal pero el primero con más área protegida Ha valorado además que en  el  por ciento de la superficie submarina estaba protegida una cifra que se sitúa actualmente en el  y que aumentará hasta el  según el compromiso adquirido por el Ministerio de Medio Ambiente un dato que ha destacado En su ponencia “El mar Imprescindible para la vida” Gómez Ballesteros ha alertado de la presencia de microplásticos “en todos los mares” del planeta y ha asegurado que “cerca de las ciudades hay auténticos vertederos marinos” que serían motivo de sonrojo y que contribuyen “a poner en peligro unos ecosistemas marinos muy frágiles” Ha calificado la investigación marina como “fundamental” para la “gobernanza de los océanos” y para adquirir el conocimiento necesario para la preservación de los mares un actor indispensable “para combatir la crisis climática” En este sentido ha recordado que el  por ciento de las emisiones de dióxido de carbono (CO) de los últimos siglos han sido asumidas por los fondos marinos a través de las algas arrecifes y demás sumideros naturales con lo cual “hay que mantener el equilibrio entre el océano y la atmósfera para mantener la vida del planeta”,22 de octubre de 2024 14:24 h,14
7,El cambio climático dispara el número de muertes por el humo generado por los incendios,Redacción ciencia  oct (EFE) El cambio climático influye cada vez más en el comportamiento de los incendios en todo el mundo e intensifica su humo esto empeora la contaminación atmosférica y afecta a la salud pública en las ciudades cada año mueren más de  personas por el humo de los incendios Así lo advierten sendos estudios publicados este lunes en Nature Climate Change y liderados por el Instituto de Potsdam para la Investigación del Impacto Climático PIK El primer estudio constata que entre  y  la superficie quemada en todo el mundo debido al cambio climático ha aumentado el % especialmente en Australia Sudamérica el oeste de Norteamérica y Siberia Este incremento de los incendios forestales ha neutralizado la disminución de la superficie quemada debida a los cambios en el uso del suelo y al aumento de la densidad de población de los últimos años revela el estudio Partiendo de esta base el segundo estudio examina cómo el cambio climático está vinculado a un aumento global de las muertes por contaminación atmosférica relacionada con los incendios y revela que el cambio climático aumentó estas muertes de  anuales en la década de  a más de  en la de  “Nuestro estudio demuestra que cuando se producen incendios la influencia del cambio climático con condiciones meteorológicas más secas y cálidas es cada vez más significativa” explica Chantelle Burton investigadora del Met Office Hadley Centre y coautora principal del primer estudio A partir de un conjunto exhaustivo de modelos mundiales de incendios y vegetación muestran que el cambio climático ha aumentado la superficie quemada en todo el mundo en un % entre  y  en comparación con una situación sin cambio climático y con especial virulencia en Australia Sudamérica el oeste de Norteamérica y Siberia las regiones más propensas a los incendios Al mismo tiempo la superficie quemada en todo el mundo está disminuyendo a medida que las tierras naturales se convierten para usos humanos como la agricultura lo que ha reducido las áreas disponibles para los incendios en aproximadamente un % durante el mismo período Sin embargo aunque estas tendencias se contrarrestan mutuamente los investigadores consideran que el efecto del cambio climático sobre los incendios aumenta con el tiempo a medida que el clima sigue calentándose Un riesgo para la salud de la población El segundo estudio evalúa el impacto global del cambio climático en la contaminación atmosférica provocada por los incendios y los riesgos para la salud asociados en los últimos  años En concreto revela que las muertes debidas a la contaminación atmosférica causada por los incendios han pasado de  anuales en la década de  a  en la de  y según sus cálculos  muertes anuales de la década de  y más de  de  pueden atribuirse al cambio climático “Esto muestra que el cambio climático supone cada vez más una amenaza para la salud pública por culpa de un mayor humo de incendios que afecta incluso a zonas densamente pobladas” apunta Chae Yeon Park del Instituto Nacional de Ciencia y Tecnología Industrial Avanzada de Japón y autor principal El humo de los incendios contiene partículas extremadamente pequeñas que penetran en el sistema respiratorio y suponen un importante riesgo para la salud al causar enfermedades pulmonares y respiratorias Regiones como Sudamérica Australia y Europa experimentaron los aumentos más significativos de mortalidad por incendios atribuidos al cambio climático coincidiendo con las condiciones más cálidas y secas causadas por el calentamiento global Aunque la disminución de la humedad y el aumento de las temperaturas incrementan el riesgo de incendios los investigadores también observaron que en algunas zonas como el sur de Asia el aumento de la humedad provocó menos muertes por incendios atribuibles al cambio climático “Es crucial comprender que el impacto del humo de los incendios va más allá de quienes viven directamente en las zonas afectadas” porque “nuestro estudio confirma que la exposición al humo puede acarrear graves consecuencias para la salud pública” avisa Christopher Reyer coautor del estudio,21 de octubre de 2024 17:00 h,17
8,Canarias activa el céntimo forestal para crear un fondo específico de lucha contra el cambio climático,El Gobierno de Canarias activará en su presupuesto de  el céntimo forestal una medida que dotará a los cabildos de “músculo económico” para afrontar los retos del cambio climático mediante recursos dirigidos en su integridad a este objetivo Así lo ha anunciado este martes el presidente Fernando Clavijo en el Parlamento tras subrayar que los expertos consideran “vital y urgente” la creación de un fondo financiero “eficaz y estable” para atajar las amenazas sobre el ecosistema canario informs el Ejecutivo regional en nota de prensa Clavijo también ha recordado la advertencia lanzada por el Consejo Económico y Social (CES) tras alertar de que Canarias invierte menos de un céntimo de euro por cada metro cuadrado de espacio protegido El Gobierno trata de revertir esta escasez de recursos con la creación de un fondo financiero específico dirigido a actuar ante el creciente riesgo de incendios forestales y el avance de la desertificación No obstante el presidente ha adelantado en sede parlamentaria que la decisión final de aplicar este nuevo céntimo forestal quedará en manos de cada corporación insular También se ha referido al carácter finalista de los recursos que se recauden siendo obligatorio que se destine en su integridad a actuaciones centradas en la lucha contra el cambio climático El Ejecutivo autonómico lo garantizará vía reglamento El nuevo céntimo forestal permitirá a los cabildos aplicar un recargo de hasta  euros por litro en la exacción fiscal sobre los combustibles de automoción que ya existe en la comunidad autónoma Se calcula que gracias a esta medida y en el caso de que todas las corporaciones insulares decidan utilizarla se recaudarán en torno a  millones de euros anuales para luchar contra los efectos del cambio climático en el archipiélago El presidente ha destacado sin embargo que los profesionales del sector del transporte quedarán exentos de abonar este recargo sobre el impuesto de combustibles un tratamiento excepcional que será recogido en la disposición transitoria de la Ley de Presupuestos de  mediante la que se pondrá en marcha el céntimo forestal Propuesta científica La creación del céntimo forestal en las cuentas del próximo año surge de una propuesta diseñada y elevada al Gobierno por un panel de  expertos de toda Canarias En concreto ha sido elaborada por el equipo multidisciplinar conformado en una de las mesas de pilotaje creada por el Consejo de la Agenda Canaria  la denominada ‘Paisajes forestales resilientes y seguros’ En este sentido Fernando Clavijo ha destacado durante su intervención en la Cámara regional que el céntimo forestal surge de la apuesta del Gobierno autonómico por “escuchar a los científicos” y actuar “de su mano” para avanzar hacia la sostenibilidad del archipiélago Este compromiso del Ejecutivo por “buscar entre todos” soluciones para la Canarias “de las próximas décadas” ha recordado el jefe del Gobierno de Canarias se afianza aún más con el trabajo desarrollado por los cinco grupos de trabajo creados por la Comisión de Presidentes Al respecto Clavijo ha recodado que las conclusiones y  propuestas de estos equipos del Reto Demográfico fueron presentadas el pasado viernes y en la actualidad se encuentran en exposición pública para que puedan ser enriquecidas por organizaciones y ciudadanía en general Durante su comparecencia en el pleno del Parlamento el presidente ha subrayado que en este profundo debate sobre cómo avanzar hacia un modelo de desarrollo sostenible han participado más de  expertos de Canarias y de las comunidades autónomas de Aragón y el País Vasco Fruto de este trabajo se encuentra en exposición pública un “ambicioso” paquete de propuestas que abarcan todos los desafíos marcados por la Conferencia de Presidentes celebrada el  de abril el reto demográfico la fiscalidad y empleo en el sector turístico la transparencia en la protección y el desarrollo del territorio el acceso a la vivienda y la protección del medio ambiente Riesgos y amenazas En esta línea de trabajo la creación del céntimo forestal anunciada este martes por Clavijo es “un primer paso de los muchos que queremos dar hacia la sostenibilidad Su creación se sustenta en un informe científico que concluye que los recursos destinados en la actualidad en Canarias a la lucha contra el cambio climático ”son claramente escasos y fluctuantes“ En concreto los expertos alertan sobre “el elevado riesgo de incendios que actualmente existe unido a su incremento progresivo por el cambio climático y la pérdida de actividad primaria en las zonas de medianías de las islas occidentales urge al desarrollo de medidas preventivas contundentes que reviertan esta tendencia” Además consideran necesario actuar ante “el elevadísimo riesgo de desertificación que afecta a todo el archipiélago” tanto en algunas zonas de las islas occidentales como la totalidad de las islas orientales A la vista de estos riesgos y amenazas el grupo de pilotaje de la Agenda  aconseja al Gobierno implantar un mecanismo fiscal “relevante finalista y directamente vinculado a las administraciones competentes en la materia que permita la creación de un fondo financiero” con el que los cabildos puedan trabajar con constancia y recursos suficientes ante los efectos del cambio climático La propuesta diseñada por este panel de  expertos resalta la importancia de que los ingresos del céntimo forestal tengan un carácter finalista “claramente vinculado a la protección del medio ambiente mediante el secuestro de carbono” para “asegurar una clara relación entre los perjuicios derivados del hecho imponible (la combustión de hidrocarburos y la consecuente generación de emisiones de efecto invernadero) y el destino del impuesto”,Actualizado el 22/10/2024 17:12 h,17
9,“No es un problema lejano de osos polares y glaciares” la importancia de la universidad en la lucha contra el cambio climático,La Consejería de Desarrollo Sostenible y la Universidad de CastillaLa Mancha (UCLM) a través del Aula de Educación Ambiental en la que colaboran celebra este martes en el campus toledano el ‘Encuentro UCLM contra el Cambio Climático’ en el que participan más de  alumnos y alumnas de todos los campus de la región Como ha explicado la directora general de Economía Circular y Agenda  Esther Haro con motivo del Día Internacional contra el Cambio Climático que tiene lugar el próximo jueves  de octubre se ha organizado una jornada de divulgación y participación para el encuentro de jóvenes de los distintos campus universitarios de la UCLM El objetivo es “para mostrar que la comunidad universitaria es parte importante en la búsqueda de soluciones en la lucha contra el cambio climático” “Es importante reflexionar sobre esta realidad que afecta a todos los niveles de la sociedad como sabemos no es un problema lejano de osos polares y glaciares Es el futuro y también el presente del medio ambiente y está afectando ya a la calidad de vida la justicia social y la estabilidad económica” ha señalado Haro Y por ello se organizan este tipo de actividades “para generar acciones que sirvan para contrarrestar el cambio climático En este contexto ha animado al alumnado “a tomar partido y desde la Universidad contribuir a transformar nuestro entorno ya sea a través de la investigación el activismo o el simple hecho de educar a otros sobre la importancia de actuar dando ese paso al frente con compromiso” Acompañada por la vicedecana de la Facultad de Ciencias Ambientales y Bioquímica Ana María Rodríguez y la codirectora del Aula de Educación Ambiental de la UCLM Beatriz Pérez la directora general se ha referido a que “la Universidad deber de ser parte de la solución a la hora de innovar y proponer soluciones repensar la forma en que consumimos producimos y nos relacionamos con el medio ambiente” En este sentido Haro ha avanzado que la próxima semana se va a firmar el convenio de colaboración entre la Consejería de Desarrollo Sostenible y el Rectorado de la UCLM para la creación de la nueva ‘Cátedra de cambio climático y sostenibilidad del sector primario’ “Esta cátedra se crea con el objeto de incidir en el conocimiento difusión y desarrollo de buenas prácticas agroforestales que permitan una óptima compatibilidad de la producción primaria con el mantenimiento de los valores medioambientales” ha apuntado Así ha añadido que “estamos en la obligación con nuestras generaciones futuras de preservar un entorno saludable y en la medida de las posibilidades ser más sostenibles en nuestras acciones utilizar el transporte público consumir de forma responsable reciclar todos nuestros residuos apoyar el comercio local o comprar equipos electrodomésticos de bajo consumo” Por otro lado y dentro del compromiso y acciones que favorecen la lucha y la mitigación del cambio climático Esther Haro ha avanzado que el próximo  de noviembre de  en el Museo Paleontológico de CastillaLa Mancha en la ciudad de Cuenca se celebra la jornada titulada ‘Jornada de Turismo Circular de CastillaLa Mancha’ El objetivo como ha indicado la directora general “es dar a conocer el resultado del estudio que se está realizando sobre el establecimiento de criterios de circularidad específicos del sector turístico de la región la elaboración de indicadores de autoevaluación en materia de economía circular así como la elaboración de una guía de buenas prácticas para los negocios del sector” Todo ello considerando el marco de la Estrategia regional de Economía Circular  y el Plan de Acción para  ha finalizado,22 de octubre de 2024 12:55 h,9
